desp,vel,suelo
-658,400,1
-638,400,1
-618,400,1
-598,400,1
-578,400,1
-558,400,1
-538,400,1
-518,400,1
-498,400,1
-478,400,1
-458,400,1
-438,400,1
-418,400,1
-398,400,1
-378,400,1
-358,400,1
-338,400,1
-318,400,1
-298,400,1
-278,400,1
-258,400,1
-238,400,1
-218,400,1
-198,400,1
-177,400,1
-157,400,1
-137,400,1
-117,400,1
-97,400,1
-77,400,1
-57,400,1
-37,400,1
-17,400,1
-658,558,1
-630,558,0
-602,558,0
-574,558,0
-546,558,0
-518,558,0
-490,558,0
-462,558,0
-434,558,0
-406,558,0
-378,558,0
-350,558,0
-322,558,0
-294,558,1
-266,558,0
-238,558,0
-210,558,0
-182,558,0
-154,558,0
-126,558,0
-98,558,0
-70,558,0
-42,558,0
-14,558,0
14,558,0
