Velocidad,Distancia,Salto
100,700,0
-8,692,0
-8,684,0
-8,676,0
-8,668,0
-8,660,0
-8,652,0
-8,644,0
-8,636,0
-8,628,0
-8,620,0
-8,612,0
-8,604,0
-8,596,0
-8,588,0
-8,580,0
-8,572,0
-8,564,0
-8,556,0
-8,548,0
-8,540,0
-8,532,0
-8,524,0
-8,516,0
-8,508,0
-8,500,0
-8,492,0
-8,484,0
-8,476,0
-8,468,0
-8,460,0
-8,452,0
-8,444,0
-8,436,0
-8,428,0
-8,420,0
-8,412,0
-8,404,0
-8,396,0
-8,388,0
-8,380,0
-8,372,0
-8,364,0
-8,356,0
-8,348,0
-8,340,0
-8,332,0
-8,324,0
-8,316,0
-8,308,0
-8,300,0
-8,292,0
-8,284,0
-8,276,0
-8,268,0
-8,260,0
-8,252,0
-8,244,0
-8,236,0
-8,228,0
-8,220,0
-8,212,0
-8,204,0
-8,196,0
-8,188,0
-8,180,0
-8,172,0
-8,164,0
-8,156,0
-8,148,0
-8,140,0
-8,132,0
-8,124,1
-8,116,1
-8,108,1
-8,100,1
-8,92,1
-8,84,1
-8,76,1
-8,68,1
-8,60,1
-8,52,1
-8,44,1
-8,36,1
-8,28,1
-8,20,1
-8,12,1
-8,4,1
-8,4,1
-8,12,1
-8,20,1
-8,28,1
-8,36,1
-8,44,1
-8,700,1
-8,692,1
-8,684,1
-8,676,1
-8,668,1
-8,660,1
-8,652,1
-8,644,1
-8,636,0
-8,628,0
-8,620,0
-8,612,0
-8,604,0
-8,596,0
-8,588,0
-8,580,0
-8,572,0
-8,564,0
-8,556,0
-8,548,0
-8,540,0
-8,532,0
-8,524,0
-8,516,0
-8,508,0
-8,500,0
-8,492,0
-8,484,0
-8,476,0
-8,468,0
-8,460,0
-8,452,0
-8,444,0
-8,436,0
-8,428,0
-8,420,0
-8,412,0
-8,404,0
-8,396,0
-8,388,0
-8,380,0
-8,372,0
-8,364,0
-8,356,0
-8,348,0
-8,340,0
-8,332,0
-8,324,0
-8,316,0
-8,308,0
-8,300,0
-8,292,0
-8,284,0
-8,276,0
-8,268,0
-8,260,0
-8,252,0
-8,244,0
-8,236,0
-8,228,0
-8,220,0
-8,212,0
-8,204,0
-8,196,0
-8,188,0
-8,180,0
-8,172,0
-8,164,0
-8,156,0
-8,148,1
-8,140,1
-8,132,1
-8,124,1
-8,116,1
-8,108,1
-8,100,1
-8,92,1
-8,84,1
-8,76,1
-8,68,1
-8,60,1
-8,52,1
-8,44,1
-8,36,1
-8,28,1
-8,20,1
-8,12,1
-8,4,1
-8,4,1
-8,12,1
-8,20,1
-8,28,1
-8,36,1
-8,44,1
-8,700,1
-8,692,1
-8,684,1
-8,676,1
-8,668,1
-8,660,0
-8,652,0
-8,644,0
-8,636,0
-8,628,0
-8,620,0
-8,612,0
-8,604,0
-8,596,0
-8,588,0
-8,580,0
-8,572,0
-8,564,0
-8,556,0
-8,548,0
-8,540,0
-8,532,0
-8,524,0
-8,516,0
-8,508,0
-8,500,0
-8,492,0
-8,484,1
-8,476,1
-8,468,1
-8,460,1
-8,452,1
-8,444,1
-8,436,1
-8,428,1
-8,420,1
-8,412,1
-8,404,1
